freq,unit,coicop,geo\TIME_PERIOD	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 
A,INX_A_AVG,CP00,AT	90.14 	93.35 	95.75 	97.77 	99.20 	100.00 	100.97 	103.22 	105.41 	106.98 
A,INX_A_AVG,CP00,BE	92.09 	95.18 	97.68 	98.90 	99.38 	100.00 	101.77 	104.03 	106.44 	107.77 
A,INX_A_AVG,CP00,BG	96.66 	99.94 	102.33 	102.72 	101.08 	100.00 	98.68 	99.85 	102.48 	104.99 
A,INX_A_AVG,CP00,CH	101.39 	101.49 	100.76 	100.83 	100.84 	100.00 	99.47 	100.11 	101.03 	101.41 
A,INX_A_AVG,CP00,CY	95.09 	98.40 	101.45 	101.84 	101.57 	100.00 	98.78 	99.45 	100.23 	100.78 
A,INX_A_AVG,CP00,CZ	92.6 	94.6 	98.0 	99.3 	99.8 	100.0 	100.7 	103.1 	105.1 	107.8 
A,INX_A_AVG,CP00,DE	92.7 	95.0 	97.0 	98.6 	99.3 	100.0 	100.4 	102.1 	104.0 	105.5 
A,INX_A_AVG,CP00,DK	94.1 	96.6 	98.9 	99.4 	99.8 	100.0 	100.0 	101.1 	101.8 	102.5 
A,INX_A_AVG,CP00,EA	93.14 	95.66 	98.05 	99.38 	99.81 	100.00 	100.23 	101.78 	103.56 	104.80 
A,INX_A_AVG,CP00,EA18	93.14 	95.67 	98.05 	99.38 	99.81 	100.00 	100.23 	101.76 	103.55 	104.78 
A,INX_A_AVG,CP00,EA19	93.13 	95.67 	98.06 	99.38 	99.81 	100.00 	100.23 	101.78 	103.56 	104.80 
A,INX_A_AVG,CP00,EE	87.96 	92.43 	96.33 	99.46 	99.93 	100.00 	100.80 	104.48 	108.05 	110.50 
A,INX_A_AVG,CP00,EEA	92.49 	95.34 	97.84 	99.31 	99.88 	100.00 	100.29 	102.01 	103.95 	105.49 
A,INX_A_AVG,CP00,EL	99.27 	102.36 	103.42 	102.54 	101.11 	100.00 	100.02 	101.15 	101.94 	102.46 
A,INX_A_AVG,CP00,ES	94.08 	96.94 	99.31 	100.83 	100.63 	100.00 	99.66 	101.69 	103.46 	104.26 
A,INX_A_AVG,CP00,EU	92.49 	95.36 	97.88 	99.35 	99.90 	100.00 	100.25 	101.96 	103.89 	105.42 
A,INX_A_AVG,CP00,EU27_2020	93.03 	95.69 	98.19 	99.49 	99.89 	100.00 	100.18 	101.74 	103.57 	105.04 
A,INX_A_AVG,CP00,EU28	92.49 	95.35 	97.87 	99.35 	99.90 	100.00 	100.25 	101.96 	103.89 	105.42 
A,INX_A_AVG,CP00,FI	90.83 	93.85 	96.81 	98.96 	100.16 	100.00 	100.39 	101.23 	102.42 	103.58 
A,INX_A_AVG,CP00,FR	94.05 	96.20 	98.33 	99.31 	99.91 	100.00 	100.31 	101.47 	103.60 	104.95 
A,INX_A_AVG,CP00,HR	92.55 	94.59 	97.76 	100.04 	100.26 	100.00 	99.37 	100.67 	102.23 	103.04 
A,INX_A_AVG,CP00,HU	89.47 	92.98 	98.24 	99.92 	99.94 	100.00 	100.45 	102.84 	105.84 	109.46 
A,INX_A_AVG,CP00,IE	96.2 	97.4 	99.2 	99.7 	100.0 	100.0 	99.8 	100.1 	100.8 	101.7 
A,INX_A_AVG,CP00,IS	85.85 	89.46 	94.84 	98.76 	99.74 	100.00 	100.79 	99.13 	99.86 	101.83 
A,INX_A_AVG,CP00,IT	92.6 	95.3 	98.4 	99.7 	99.9 	100.0 	99.9 	101.3 	102.5 	103.2 
A,INX_A_AVG,CP00,LT	92.43 	96.24 	99.28 	100.44 	100.68 	100.00 	100.68 	104.42 	107.07 	109.47 
A,INX_A_AVG,CP00,LU	91.44 	94.85 	97.59 	99.25 	99.94 	100.00 	100.04 	102.15 	104.21 	105.93 
A,INX_A_AVG,CP00,LV	92.96 	96.88 	99.09 	99.11 	99.79 	100.00 	100.10 	103.00 	105.63 	108.53 
A,INX_A_AVG,CP00,MK	92.57 d	95.52 d	97.26 d	99.91 d	99.87 d	100.00 d	100.24 d	102.35 d	104.66 d	105.42 d
A,INX_A_AVG,CP00,MT	91.79 	94.10 	97.13 	98.08 	98.84 	100.00 	100.90 	102.18 	103.95 	105.54 
A,INX_A_AVG,CP00,NL	92.05 	94.32 	96.99 	99.47 	99.79 	100.00 	100.11 	101.40 	103.02 	105.78 
A,INX_A_AVG,CP00,NO	92.8 	94.0 	94.3 	96.2 	98.0 	100.0 	103.9 	105.8 	109.0 	111.5 
A,INX_A_AVG,CP00,PL	92.7 	96.3 	99.8 	100.6 	100.7 	100.0 	99.8 	101.4 	102.6 	104.8 
A,INX_A_AVG,CP00,PT	93.22 	96.54 	99.22 	99.65 	99.50 	100.00 	100.64 	102.20 	103.40 	103.71 
A,INX_A_AVG,CP00,RO	87.73 	92.84 	95.98 	99.04 	100.41 	100.00 	98.93 	100.00 	104.08 	108.15 
A,INX_A_AVG,CP00,RS	74.9 d	83.3 d	89.4 d	96.3 d	98.5 d	100.0 d	101.3 d	104.7 d	106.8 d	108.8 d
A,INX_A_AVG,CP00,SE	96.43 	97.75 	98.66 	99.10 	99.30 	100.00 	101.14 	103.02 	105.12 	106.93 
A,INX_A_AVG,CP00,SI	93.86 	95.81 	98.50 	100.40 	100.77 	100.00 	99.85 	101.40 	103.36 	105.11 
A,INX_A_AVG,CP00,SK	91.69 	95.43 	99.00 	100.45 	100.35 	100.00 	99.52 	100.90 	103.46 	106.33 
A,INX_A_AVG,CP00,TR	68.37 d	72.79 d	79.31 d	85.22 d	92.81 d	100.00 d	107.66 d	119.63 d	139.17 d	160.30 d
A,INX_A_AVG,CP00,UK	89.4 	93.4 	96.1 	98.5 	100.0 	100.0 	100.7 	103.4 	105.9 	107.8 
A,INX_A_AVG,CP00,US	92.56 d	96.16 d	98.23 d	99.48 d	100.81 d	100.00 d	100.55 d	102.29 d	104.52 d	105.92 d
