freq,purchase,unit,geo\TIME_PERIOD	2010-Q4 	2011-Q1 	2011-Q2 	2011-Q3 	2011-Q4 	2012-Q1 	2012-Q2 	2012-Q3 	2012-Q4 	2013-Q1 	2013-Q2 	2013-Q3 	2013-Q4 	2014-Q1 	2014-Q2 	2014-Q3 	2014-Q4 	2015-Q1 	2015-Q2 	2015-Q3 	2015-Q4 	2016-Q1 	2016-Q2 	2016-Q3 	2016-Q4 	2017-Q1 	2017-Q2 	2017-Q3 	2017-Q4 	2018-Q1 	2018-Q2 	2018-Q3 	2018-Q4 	2019-Q1 	2019-Q2 	2019-Q3 	2019-Q4 
Q,TOTAL,INX_Q,AT	78.44 	79.01 	81.05 	82.83 	83.50 	85.50 	86.75 	89.14 	88.89 	90.37 	91.74 	94.48 	91.81 	94.32 	95.83 	95.14 	96.03 	93.88 	99.89 	104.01 	102.22 	106.48 	108.87 	109.43 	109.35 	111.54 	114.24 	114.75 	116.51 	117.50 	118.51 	120.37 	122.18 	122.38 	126.40 	127.81 	129.81 
Q,TOTAL,INX_Q,BE	93.41 	94.07 	94.93 	96.80 	96.64 	97.33 	97.42 	98.52 	97.72 	98.34 	98.60 	99.82 	98.83 	97.00 	97.67 	98.96 	99.78 	97.40 	99.56 	101.75 	101.29 	100.56 	101.75 	104.31 	103.94 	105.01 	104.67 	108.18 	107.63 	107.67 	108.73 	110.93 	110.34 	111.54 	112.01 	115.96 	115.61 
Q,TOTAL,INX_Q,BG	104.15 	102.03 	100.23 	99.54 	98.10 	98.23 	98.67 	98.57 	96.82 	96.00 	96.48 	95.52 	95.66 	96.66 	96.97 	97.21 	98.32 	98.85 b	99.71 	99.21 	102.23 	103.38 	106.24 	107.94 	110.52 	112.66 	115.37 	117.62 	119.53 	120.65 	124.03 	124.99 	126.15 	129.45 	130.26 	131.97 	133.99 p
Q,TOTAL,INX_Q,CY	112.05 	111.56 	113.99 	111.22 	107.60 	106.40 	106.02 	110.14 	108.22 	104.54 	104.77 	103.05 	100.78 	98.08 	103.55 	102.70 	101.56 	97.52 	100.59 	102.49 	99.40 	97.29 	99.18 	101.87 	102.72 	99.64 	102.74 	102.46 	105.24 	103.10 	104.01 	103.12 	107.04 	107.93 	112.73 	105.64 	106.51 
Q,TOTAL,INX_Q,CZ	95.20 	95.40 	95.90 	95.30 	94.40 	93.90 	94.00 	93.80 	93.70 	93.60 	94.10 	94.00 	93.80 	95.00 	95.80 	96.60 	97.30 	98.30 	99.40 	100.60 	101.70 	103.00 	105.10 	107.70 	112.80 	116.20 	119.10 	121.20 	122.30 	125.00 	128.70 	131.90 	134.40 	137.20 	140.60 	143.40 	146.40 
Q,TOTAL,INX_Q,DE	83.80 	86.00 	87.10 	86.70 	87.30 	87.90 	89.10 	90.40 	91.60 	91.30 	93.10 	92.90 	93.00 	93.80 	95.70 	96.20 	96.20 	97.80 	99.90 	100.40 	101.80 	103.90 	106.90 	108.80 	110.40 	110.90 	113.10 	115.00 	117.30 	118.30 	120.60 	123.10 	124.60 	124.60 	127.80 	129.60 	132.70 
Q,TOTAL,INX_Q,DK	90.78 	89.91 	91.94 	88.90 	85.74 	85.75 	86.99 	87.26 	86.85 	88.03 	91.17 	91.21 	89.95 	91.22 	94.69 	94.21 	93.83 	97.34 	100.59 	101.03 	101.04 	102.99 	105.58 	107.00 	105.29 	107.60 	110.52 	111.98 	109.89 	114.00 	115.62 	116.07 	113.54 	116.03 	118.69 	118.89 	116.41 
Q,TOTAL,INX_Q,EA	102.03 	102.39 	103.24 	102.95 	101.87 	100.91 	100.62 	100.24 	99.77 	98.16 	98.42 	98.61 	97.95 	97.77 	98.63 	98.99 	98.46 	98.25 	99.88 	100.89 	100.98 	101.91 	103.55 	105.07 	105.55 	106.26 	107.84 	109.54 	110.43 	111.34 	113.00 	114.79 	115.50 	115.96 	118.05 	119.66 	120.65 
Q,TOTAL,INX_Q,EA19	101.87 	102.26 	103.12 	102.84 	101.75 	100.81 	100.52 	100.15 	99.69 	98.09 	98.37 	98.55 	97.93 	97.76 	98.63 	99.00 	98.46 	98.25 	99.88 	100.89 	100.98 	101.91 	103.55 	105.07 	105.55 	106.26 	107.84 	109.54 	110.43 	111.34 	113.00 	114.79 	115.50 	115.96 	118.05 	119.66 	120.65 
Q,TOTAL,INX_Q,EE	63.51 	67.03 	68.98 	70.29 	70.98 	71.91 	74.27 	76.17 	75.13 	77.45 	80.30 	84.60 	86.82 	91.01 	91.98 	95.77 	95.57 	98.31 	101.60 	99.63 	100.46 	100.32 	103.47 	106.98 	108.21 	108.08 	108.42 	112.06 	113.49 	115.17 	116.43 	116.71 	119.96 	121.99 	123.14 	126.16 	129.79 
